store_name,year,costs
1,Last year,-1112088.4444444443
1,This year,-1147352.8888888888
2,Last year,-1307778.8888888888
2,This year,-1327118.8518518517
3,Last year,-765157.2962962962
3,This year,-805582.5555555555
4,Last year,-773907.0370370368
4,This year,-789812.074074074
5,Last year,-636943.2222222221
5,This year,-687358.7777777776
6,Last year,-1183129.111111111
6,This year,-1216022.6296296294
7,Last year,-2389240.259259259
7,This year,-2312109.851851851
8,Last year,-2118605.74074074
8,This year,-1924855.5925925921
9,Last year,-436381.55555555545
9,This year,-1069658.8518518517
10,Last year,-1693211.8518518514
10,This year,-1880932.4074074072
11,Last year,-834848.2592592592
11,This year,-778238.4814814813
12,Last year,-1715416.111111111
12,This year,-1664685.5555555553
13,Last year,-1185367.8148148148
13,This year,-1209108.185185185
14,Last year,-1262762.9259259256
14,This year,-1192082.111111111
15,Last year,-491485.03703703696
15,This year,-532309.8148148148
16,Last year,-590791.7037037036
16,This year,-646147.9629629628
17,Last year,-496591.40740740736
17,This year,-487807.4444444444
18,Last year,-2106035.5555555555
18,This year,-2065207.4074074072
19,Last year,-3610453.7777777775
19,This year,-3991506.8148148144
20,Last year,-1269501.3333333333
20,This year,-1239500.8888888888
21,Last year,-1121266.4814814813
21,This year,-1132316.6296296294
22,Last year,-2230729.148148148
22,This year,-2391689.481481481
23,Last year,-740827.8888888888
23,This year,-648248.2222222221
24,Last year,-4922362.407407407
24,This year,-4753407.555555555
25,Last year,-1862535.3703703703
25,This year,-1981793.5925925921
26,Last year,-421422.8148148148
26,This year,-572836.185185185
27,Last year,-387600.8888888888
27,This year,-496869.33333333326
28,Last year,-518091.5185185184
28,This year,-564270.2592592592
29,Last year,-1242170.9999999998
29,This year,-1230132.5555555553
30,Last year,-1557528.7777777775
30,This year,-1716927.5925925924
31,Last year,-1303293.7037037036
31,This year,-1422723.5555555553
32,Last year,-1403968.4814814813
32,This year,-1395704.8518518517
33,Last year,-742648.4074074073
33,This year,-781511.1111111109
34,Last year,-364923.74074074073
34,This year,-377631.8518518518
35,Last year,-937549.148148148
35,This year,-807855.7407407407
36,Last year,-671554.074074074
36,This year,-710855.4444444444
37,Last year,-551163.1481481481
37,This year,-557923.3333333333
38,Last year,-620835.9629629628
38,This year,-756640.8888888888
39,Last year,-461273.55555555545
39,This year,-475381.92592592584
40,Last year,-380679.70370370365
40,This year,-293426
41,Last year,-1355944.074074074
41,This year,-1485716.8148148146
42,Last year,-1444693.4444444443
42,This year,-1437343.7037037036
43,Last year,-1317029.5185185184
43,This year,-1431141.4444444443
44,Last year,-942540.6666666665
44,This year,-926437.5555555555
45,Last year,-495880.7777777777
45,This year,-514515.8148148148
46,Last year,-380896.18518518517
46,This year,-298374.2222222222
47,Last year,-626866.8518518518
47,This year,-727387.8888888888
48,Last year,-1593558.5555555553
48,This year,-1640752.2962962962
49,Last year,-1132080.1851851852
49,This year,-1185562.5185185184
50,Last year,-878824.5925925925
50,This year,-910776.4814814813
51,Last year,-362620.4814814814
51,This year,-486036.4444444444
52,Last year,-550274.9259259258
52,This year,-586292
53,Last year,-829809.8148148147
53,This year,-889802.1481481481
54,Last year,-232689.59259259258
54,This year,-323726.1481481481
55,Last year,-695113.7407407407
55,This year,-725678.8518518518
56,Last year,-279948.1481481481
56,This year,-302534.29629629623
57,Last year,-1214422.7407407404
57,This year,-1248179.8518518517
58,Last year,-1628428.6666666665
58,This year,-1649771.4074074072
59,Last year,-864442.7037037036
59,This year,-820749.2222222221
60,Last year,-3050823.222222222
60,This year,-3227345.333333333
61,Last year,-1503313.5185185184
61,This year,-1683583.4814814813
62,Last year,-1483880.4814814813
62,This year,-1465762.4074074072
63,Last year,-2122384.1851851847
63,This year,-2361420.1851851847
64,Last year,-296251.6666666666
64,This year,-270246.1481481481
65,Last year,-2747646.481481481
65,This year,-2759439.407407407
66,Last year,-425874.55555555545
66,This year,-557292.037037037
67,Last year,-355204.37037037034
67,This year,-488371.8518518518
68,Last year,-418159.2592592592
68,This year,-366784.1851851851
69,Last year,-1690889.148148148
69,This year,-1680744.0740740737
70,Last year,-563198.7407407407
70,This year,-558891.6666666666
71,Last year,-1894011.5185185184
71,This year,-2149285.7037037034
72,Last year,-3566166.0740740737
72,This year,-3963518.2222222215
73,Last year,-2129026.407407407
73,This year,-2201318.518518518
74,Last year,-629378.037037037
74,This year,-687045.5925925925
75,Last year,-1356956.7407407404
75,This year,-1247291.111111111
76,Last year,-737055.1481481481
76,This year,-737774.5925925925
77,Last year,-1091055
77,This year,-1302021.7777777775
78,Last year,-4311085.851851852
78,This year,-3954972.518518518
79,Last year,-2803795.296296296
79,This year,-2785802.444444444
80,Last year,-1142552.4444444443
80,This year,-1210948.9259259256
81,Last year,-889177.074074074
81,This year,-916195.2592592592
82,Last year,-2935721.444444444
82,This year,-2852086.9999999995
83,Last year,-970658.8888888888
83,This year,-1043916.4814814813
84,Last year,-367218.4444444444
84,This year,-421908.92592592584
85,Last year,-556355.074074074
85,This year,-565161.8518518518
86,Last year,-555732.8518518518
86,This year,-671886.185185185
87,Last year,-1175487.7037037036
87,This year,-1236121.962962963
88,Last year,-325186.5555555555
88,This year,-307508.4444444444
89,Last year,-571918.6666666666
89,This year,-688534.7777777776
90,Last year,-1083185.7037037036
90,This year,-1042200.1851851852
91,Last year,-653774.3333333333
91,This year,-961384.4074074073
92,Last year,-863977.3333333333
92,This year,-915745.7037037036
93,Last year,-1142348.9259259256
93,This year,-1492564.111111111
94,Last year,-391068.7407407407
94,This year,-568526.7777777776
95,Last year,-441889.77777777775
95,This year,-443271.8888888888
96,Last year,-390328.8148148148
96,This year,-425871.96296296286
97,Last year,-299958.29629629623
97,This year,-480169.92592592584
98,Last year,-2073035.2222222218
98,This year,-2118476.3703703703
99,Last year,-2755598.9999999995
99,This year,-3031026.4444444436
100,Last year,-625239.9999999999
100,This year,-623467.7037037036
101,Last year,-751760.8518518517
101,This year,-733576.4074074073
102,Last year,-1144752.259259259
102,This year,-839919.8888888888
103,Last year,-648116.2592592592
103,This year,-668261.4814814815
104,Last year,-663964.7777777776
104,This year,-635540.111111111
#MISSING,Last year,-993010.9259259257
#MISSING,This year,-2361939.74074074
105,Last year,-923585.7037037036
105,This year,-1106662.6666666665
106,Last year,-638895.185185185
106,This year,-798002.3333333333
107,Last year,-952814.3333333333
107,This year,-1112000.8148148148
108,Last year,-828392.4444444444
108,This year,-864078.9629629628
109,Last year,-522113.6666666666
109,This year,-942646.7037037036
110,Last year,-390666.8888888888
110,This year,-466155.92592592584
111,Last year,-508247.70370370365
111,This year,-520470.2222222222
112,Last year,-1252868.2962962962
112,This year,-1268297.5925925924
113,Last year,-963521.7407407406
113,This year,-1022816.9259259257
114,Last year,-850892.7777777776
114,This year,-750546.4814814813
115,Last year,-1559857.9629629627
115,This year,-1664436.4074074072
116,Last year,-2636477.407407407
116,This year,-2656487.555555555
117,Last year,-490600.4444444444
117,This year,-568212.2962962962
118,Last year,-703803.3333333333
118,This year,-940637.4444444444
119,Last year,-917814.3333333333
119,This year,-973643.7407407406
120,Last year,-269657.37037037034
120,This year,-253596.77777777772
121,Last year,-508697.5185185184
121,This year,-482408.6296296296
122,Last year,-852587.0370370368
122,This year,-879239.1481481481
123,Last year,-949761.8148148147
123,This year,-1043213.3703703703
124,Last year,-597097.4074074074
124,This year,-546938.2592592592
125,Last year,-922963.7407407406
125,This year,56950.44444444443
126,Last year,-309148.2592592592
126,This year,-353944.8888888888
127,Last year,-611429.7777777776
127,This year,-626972.8888888888
128,Last year,-443366
128,This year,-499809.5925925926
129,Last year,-949237.5925925925
129,This year,-879543
130,Last year,-918753.3703703703
130,This year,-971237.8148148147
131,Last year,-684786.1481481481
131,This year,-793806.2222222221
132,Last year,-678566.7777777776
132,This year,-662992.2962962962
133,Last year,-878968.7407407406
133,This year,-804648.1851851852
134,Last year,-1520381.851851852
134,This year,-1462218.074074074
135,Last year,-825193.7037037036
135,This year,-792148.2592592592
136,Last year,-1020364.5925925925
136,This year,-968717.0370370368
137,Last year,-1436702.5555555553
137,This year,-1433526.111111111
138,Last year,-873712
138,This year,-862382.3703703703
139,Last year,-901978
139,This year,-919627.0740740739
140,Last year,-1293718.7407407404
140,This year,-1419932.8888888888
141,Last year,-1023407.2592592592
141,This year,-1014881.7777777776
142,Last year,-1747983.2222222218
142,This year,-1673076.4814814813
143,Last year,-733548.4074074073
143,This year,-813451.8518518517
144,Last year,-404063.8518518518
144,This year,-407015.2592592592
145,Last year,-397131.77777777775
145,This year,-468068.7407407407
146,Last year,-419259.29629629623
146,This year,-422445.5925925926
147,Last year,-483595.5185185184
147,This year,-498028.99999999994
148,Last year,-694422.8148148147
148,This year,-682791.1481481481
149,Last year,-490060.14814814803
149,This year,-511226.5925925926
150,Last year,-948386.1851851852
150,This year,-1003995.9999999999
151,Last year,-1998870.9999999998
151,This year,-1783462.8518518514
152,Last year,-459653.96296296286
152,This year,-436464.5185185184
