store_name,location,prague,floor_area,avg_weekly_opening_hours,sunday_opening_hours,price_category,lottery_pos,pudo_pos,number_of_employees,number_of_vehicles,education,real_estate_price_sqm,construction_permits,number_of_internet_subscirbers,number_of_job_seekers,pit_capita,number_of_births,population,x0_50m_avg,x50_100m_avg,x100_plusm_avg,newspaper_shelves,non_newspaper_shelves
1,Mall,1,12.708,81,8.9999999999999982,8,0,0,2,32774,18712,24000.012873357227,125,886683,1989,90.98462097556516,1027,50374,791575.31722222222,0,3365232.0685185185,11.416666668000001,0.87499999950000007
2,Main street,0,66,61,0,8,1,1,2,13608,5240,17303.746296296296,56,10231,918,86.63287085815101,361,17845,0,0,473920.63499999995,20.258333337000003,1.2083333328000001
3,Albert,0,35.087999999999994,64,8,8,1,1,3,7904,2600,12025.232519640849,4,7797,800,89.593403131725,264,11339,1495502.2505555553,0,755665.74962962954,11.55,0.55000000000000004
4,Albert,0,34.236,80,9.0000000000000018,8,1,1,0,7268,2760,287859.20490196074,12,6045,1095,68.15648668411697,217,10950,2621098.3018518519,0,407519.3009259259,8.8000000000000007,2.2000000000000002
5,Main street,0,30,72,3.9999999999999991,7,1,1,3,3557,940,6598.3570234869003,0,2896,976,63.59376623292297,99,6098,0,0,973051.74074074079,9.8083333337000003,0.22222222220000004
6,Kaufland,0,72.636,78,10,8,1,1,4,10361,3852,19762.848325193321,77,7108,432,97.33222237665582,207,9386,7482186.7685185177,0,0,15.950000000000001,9.3500000000000014
7,Kaufland,0,60.936,102,12,8,1,1,5,17610,9640,27667.729714040808,95,12319,668,127.16126532553821,330,14213,14886084.833333332,0,0,16.5,2.75
8,Kaufland,1,59.436,89,10,8,1,1,5,11296,3977,18385.118268665487,16,886683,797,92.22855962645468,250,11311,15814256.744444443,0,0,16.5,4.4000000000000004
9,Kaufland,0,51.6,75,9,8,1,1,5,7596,3449,22315.485174752204,57,4913,168,108.15198770251432,139,6192,5186304.4462962961,0,926609.3907407407,9.9,7.7000000000000011
10,Kaufland,0,65.28,83,11,8,1,1,5,17876,7017,22319.808580621589,168,14377,884,99.65720435459933,503,19101,9300217.8796296287,0,0,15.400000000000002,7.15
11,Main street,0,27.599999999999998,63.5,0,8,1,1,2,49542,27229,19929.501052188523,156,45548,2413,113.1485549281114,1054,58484,0,0,2161319.9333333331,15.583333337000001,0.91666666630000004
12,Kaufland,0,49.068,82,10,8,1,1,5,21091,11710,55362.820414616268,181,18091,806,128.37706945565208,659,22446,14983329.537037035,0,0,14.850000000000001,3.8500000000000005
13,Kaufland,0,43.284,87.00000000000001,9,8,1,1,5,49542,27229,19929.501052188523,156,45548,2413,113.1485549281114,1054,58484,417556.55462962959,0,2940954.1129629631,13.200000000000001,5.5
14,Kaufland,0,29.987999999999996,84.5,10.499999999999998,8,1,1,5,4791,2101,18137.827878558826,17,3591,140,105.4358228808026,107,4372,12756214.859259257,0,0,9.9,2.2000000000000002
15,Main street,0,19.2,75.49999999999999,5,7,0,1,3,13783,6750,9503.5200377561923,3,13716,3366,74.65440714067375,352,23435,0,0,1402494.2474074073,11.836111111000001,1.4597222222000001
