store_name,year,month,product_category,gm
1,Last year,1,Fee collection,6877.777777777777
1,Last year,1,"Food, Tobacco and Others",44202.481481481474
1,Last year,1,Newspaper,42777.05185185185
1,Last year,1,Sazka,1069.2592592592591
1,Last year,2,Fee collection,6866.666666666666
1,Last year,2,"Food, Tobacco and Others",49479.259259259255
1,Last year,2,Newspaper,40787.34074074074
1,Last year,2,Sazka,1726.296296296296
1,Last year,3,Fee collection,5927.7777777777765
1,Last year,3,"Food, Tobacco and Others",54305.43703703703
1,Last year,3,Newspaper,56153.79259259259
1,Last year,3,Sazka,1670.3703703703702
1,Last year,4,Fee collection,6490.74074074074
1,Last year,4,"Food, Tobacco and Others",64820.97777777778
1,Last year,4,Newspaper,67842.4962962963
1,Last year,4,Sazka,2037.2222222222222
1,Last year,5,Fee collection,11516.666666666666
1,Last year,5,"Food, Tobacco and Others",62986.207407407404
1,Last year,5,Newspaper,58682.451851851845
1,Last year,5,Sazka,1795.185185185185
1,Last year,6,Fee collection,14818.518518518518
1,Last year,6,"Food, Tobacco and Others",73614.88148148147
1,Last year,6,Newspaper,47885.96296296296
1,Last year,6,Sazka,2969.0740740740744
1,Last year,7,Fee collection,14027.777777777777
1,Last year,7,"Food, Tobacco and Others",66179.38518518518
1,Last year,7,Newspaper,46248.014814814815
1,Last year,7,Sazka,2393.7037037037035
1,Last year,8,Fee collection,14887.037037037036
1,Last year,8,"Food, Tobacco and Others",63731.02222222222
1,Last year,8,Newspaper,43315.84444444444
1,Last year,8,Sazka,2522.9629629629626
1,Last year,9,Fee collection,15285.185185185184
1,Last year,9,"Food, Tobacco and Others",72112.34074074074
1,Last year,9,Newspaper,56621.340740740736
1,Last year,9,Sazka,3879.259259259259
1,Last year,10,Fee collection,17290.74074074074
1,Last year,10,"Food, Tobacco and Others",78446.74814814814
1,Last year,10,Newspaper,93126.34074074075
1,Last year,10,Sazka,2732.9629629629626
1,Last year,11,Fee collection,17690.74074074074
1,Last year,11,"Food, Tobacco and Others",78052.57037037036
1,Last year,11,Newspaper,76791.14074074074
1,Last year,11,Sazka,2629.4444444444443
1,Last year,12,Fee collection,17212.777777777777
1,Last year,12,"Food, Tobacco and Others",90559.27407407407
1,Last year,12,Newspaper,65759.97037037036
1,Last year,12,Sazka,4649.444444444444
1,This year,1,Fee collection,17803.888888888887
1,This year,1,"Food, Tobacco and Others",65589.15555555555
1,This year,1,Newspaper,48730.73333333334
1,This year,1,Sazka,1801.8518518518517
1,This year,2,Fee collection,15035.185185185184
1,This year,2,"Food, Tobacco and Others",64543.562962962955
1,This year,2,Newspaper,47124.829629629625
1,This year,2,Sazka,1827.037037037037
1,This year,3,Fee collection,15785.185185185184
1,This year,3,"Food, Tobacco and Others",69864.23703703703
1,This year,3,Newspaper,59459.24444444445
1,This year,3,Sazka,2066.8518518518517
1,This year,4,Fee collection,13987.037037037036
1,This year,4,"Food, Tobacco and Others",65612.03703703704
1,This year,4,Newspaper,91028.67407407408
1,This year,4,Sazka,3011.666666666667
1,This year,5,Fee collection,13794.444444444443
1,This year,5,"Food, Tobacco and Others",68658.82222222222
1,This year,5,Newspaper,57573.02962962962
1,This year,5,Sazka,2530.37037037037
1,This year,6,Fee collection,15003.703703703703
1,This year,6,"Food, Tobacco and Others",71672.96296296296
1,This year,6,Newspaper,42565.18518518518
1,This year,6,Sazka,1426.4814814814813
1,This year,7,Fee collection,15352.777777777777
1,This year,7,"Food, Tobacco and Others",72639.28148148148
1,This year,7,Newspaper,43251.59999999999
1,This year,7,Sazka,1941.8518518518517
1,This year,8,Fee collection,15786.11111111111
1,This year,8,"Food, Tobacco and Others",78985.62222222221
1,This year,8,Newspaper,43580.962962962956
1,This year,8,Sazka,2490
1,This year,9,Fee collection,14800.925925925925
1,This year,9,"Food, Tobacco and Others",74895.7037037037
1,This year,9,Newspaper,56512.76296296297
1,This year,9,Sazka,2513.5185185185182
1,This year,10,Fee collection,16845.37037037037
1,This year,10,"Food, Tobacco and Others",75902.03703703704
1,This year,10,Newspaper,107092.42962962962
1,This year,10,Sazka,1860.185185185185
1,This year,11,Fee collection,18135.185185185182
1,This year,11,"Food, Tobacco and Others",74694.4074074074
1,This year,11,Newspaper,77950.44444444444
1,This year,11,Sazka,3320
1,This year,12,Fee collection,19524.074074074073
1,This year,12,"Food, Tobacco and Others",93757.78518518517
1,This year,12,Newspaper,69017.35555555555
1,This year,12,Sazka,5686.481481481481
2,Last year,1,Fee collection,25755.555555555555
2,Last year,1,"Food, Tobacco and Others",27102.17777777778
2,Last year,1,Newspaper,107856.88148148145
2,Last year,1,Sazka,70256.48148148147
2,Last year,1,PUDO,1775.9259259259259
2,Last year,2,Fee collection,22377.777777777777
2,Last year,2,"Food, Tobacco and Others",34592.08888888889
2,Last year,2,Newspaper,102054.71111111112
2,Last year,2,Sazka,74611.66666666666
2,Last year,2,PUDO,1866.6666666666665
2,Last year,3,Fee collection,22301.85185185185
2,Last year,3,"Food, Tobacco and Others",39583.99999999999
2,Last year,3,Newspaper,112243.34074074074
2,Last year,3,Sazka,74203.51851851851
2,Last year,3,PUDO,2035.185185185185
2,Last year,4,Fee collection,18479.629629629628
2,Last year,4,"Food, Tobacco and Others",36613.36296296296
2,Last year,4,Newspaper,104875.14074074071
2,Last year,4,Sazka,75385.37037037036
2,Last year,4,PUDO,2048.148148148148
2,Last year,5,Fee collection,23803.7037037037
2,Last year,5,"Food, Tobacco and Others",30571.311111111114
2,Last year,5,Newspaper,98010.31851851851
2,Last year,5,Sazka,61997.22222222222
2,Last year,5,PUDO,2812.9629629629626
2,Last year,6,Fee collection,24525.925925925923
2,Last year,6,"Food, Tobacco and Others",41598.58518518518
2,Last year,6,Newspaper,97883.33333333333
2,Last year,6,Sazka,69888.88888888889
2,Last year,6,PUDO,2048.148148148148
2,Last year,7,Fee collection,25175.925925925923
2,Last year,7,"Food, Tobacco and Others",31039.34074074074
2,Last year,7,Newspaper,100475.14814814813
2,Last year,7,Sazka,61011.29629629629
2,Last year,7,PUDO,1814.8148148148148
2,Last year,8,Fee collection,29449.999999999996
2,Last year,8,"Food, Tobacco and Others",30340.99259259259
2,Last year,8,Newspaper,98375.82222222221
2,Last year,8,Sazka,63259.99999999999
2,Last year,8,PUDO,2048.148148148148
2,Last year,9,Fee collection,25862.96296296296
2,Last year,9,"Food, Tobacco and Others",39693.94814814815
2,Last year,9,Newspaper,103502.93333333332
2,Last year,9,Sazka,65250.74074074074
2,Last year,9,PUDO,1685.185185185185
2,Last year,10,Fee collection,30207.407407407405
2,Last year,10,"Food, Tobacco and Others",33170.05925925926
2,Last year,10,Newspaper,106014.42962962962
2,Last year,10,Sazka,65166.666666666664
2,Last year,10,PUDO,2242.5925925925926
2,Last year,11,Fee collection,30057.407407407405
2,Last year,11,"Food, Tobacco and Others",42750.37777777778
2,Last year,11,Newspaper,111630.5037037037
2,Last year,11,Sazka,73938.7037037037
2,Last year,11,PUDO,2138.8888888888887
2,Last year,12,Fee collection,32392.59259259259
2,Last year,12,"Food, Tobacco and Others",49426.740740740745
2,Last year,12,Newspaper,125853.15555555555
2,Last year,12,Sazka,76209.25925925926
2,Last year,12,PUDO,4238.888888888889
2,This year,1,Fee collection,32840.74074074074
2,This year,1,"Food, Tobacco and Others",30862.422222222223
2,This year,1,Newspaper,105321.3259259259
2,This year,1,Sazka,67453.7037037037
2,This year,1,PUDO,2125.9259259259256
2,This year,2,Fee collection,29127.777777777777
2,This year,2,"Food, Tobacco and Others",36586.80740740741
2,This year,2,Newspaper,97351.4888888889
2,This year,2,Sazka,68626.29629629629
2,This year,2,PUDO,2022.2222222222222
2,This year,3,Fee collection,30933.333333333332
2,This year,3,"Food, Tobacco and Others",39948.83703703703
2,This year,3,Newspaper,111356.05185185184
2,This year,3,Sazka,83004.44444444444
2,This year,3,PUDO,2048.148148148148
2,This year,4,Fee collection,26981.481481481478
2,This year,4,"Food, Tobacco and Others",37203.92592592593
2,This year,4,Newspaper,102707.11111111108
2,This year,4,Sazka,74220.74074074073
2,This year,4,PUDO,1879.6296296296296
2,This year,5,Fee collection,29574.999999999996
2,This year,5,"Food, Tobacco and Others",34564.2962962963
2,This year,5,Newspaper,97633.77037037036
2,This year,5,Sazka,74685.37037037036
2,This year,5,PUDO,2009.2592592592591
2,This year,6,Fee collection,27350
2,This year,6,"Food, Tobacco and Others",40195.53333333333
2,This year,6,Newspaper,98421.19259259258
2,This year,6,Sazka,65131.11111111111
2,This year,6,PUDO,1957.4074074074074
2,This year,7,Fee collection,27219.44444444444
2,This year,7,"Food, Tobacco and Others",35432.2
2,This year,7,Newspaper,101646.84444444443
2,This year,7,Sazka,75404.25925925926
2,This year,7,PUDO,1879.6296296296296
2,This year,8,Fee collection,28647.22222222222
2,This year,8,"Food, Tobacco and Others",41465.08888888889
2,This year,8,Newspaper,99953.25925925926
2,This year,8,Sazka,66937.96296296296
2,This year,8,PUDO,1568.5185185185185
2,This year,9,Fee collection,28675.925925925923
2,This year,9,"Food, Tobacco and Others",37697.8962962963
2,This year,9,Newspaper,95812.78518518519
2,This year,9,Sazka,68481.48148148147
2,This year,9,PUDO,1957.4074074074074
2,This year,10,Fee collection,30159.259259259255
2,This year,10,"Food, Tobacco and Others",29068.62222222222
2,This year,10,Newspaper,106285.04444444443
2,This year,10,Sazka,70900.18518518518
2,This year,10,PUDO,1672.2222222222222
2,This year,11,Fee collection,31027.777777777777
2,This year,11,"Food, Tobacco and Others",35518.11851851852
2,This year,11,Newspaper,115465.82962962962
2,This year,11,Sazka,74434.62962962962
2,This year,11,PUDO,3046.296296296296
2,This year,12,Fee collection,38766.666666666664
2,This year,12,"Food, Tobacco and Others",46403.85185185185
2,This year,12,Newspaper,120816.68148148147
2,This year,12,Sazka,79419.25925925926
2,This year,12,PUDO,2644.4444444444443
3,Last year,1,Fee collection,8166.666666666666
3,Last year,1,"Food, Tobacco and Others",10222.148148148148
3,Last year,1,Newspaper,19244.088888888888
3,Last year,1,Sazka,58449.44444444444
3,Last year,1,PUDO,3383.333333333333
3,Last year,2,Fee collection,7442.592592592592
3,Last year,2,"Food, Tobacco and Others",8929.096296296297
3,Last year,2,Newspaper,19322.644444444442
3,Last year,2,Sazka,57346.29629629629
3,Last year,2,PUDO,2864.814814814815
3,Last year,3,Fee collection,7468.518518518518
3,Last year,3,"Food, Tobacco and Others",15004.62222222222
3,Last year,3,Newspaper,20479.666666666664
3,Last year,3,Sazka,63555.18518518518
3,Last year,3,PUDO,3240.7407407407404
3,Last year,4,Fee collection,8651.851851851852
3,Last year,4,"Food, Tobacco and Others",13473.57037037037
3,Last year,4,Newspaper,18243.399999999998
3,Last year,4,Sazka,57603.51851851852
3,Last year,4,PUDO,3499.9999999999995
3,Last year,5,Fee collection,12048.148148148148
3,Last year,5,"Food, Tobacco and Others",14279.155555555555
3,Last year,5,Newspaper,19591.496296296293
3,Last year,5,Sazka,56182.777777777774
3,Last year,5,PUDO,596.2962962962963
3,Last year,6,Fee collection,13225.925925925925
3,Last year,6,"Food, Tobacco and Others",14836.777777777777
3,Last year,6,Newspaper,19043.37037037037
3,Last year,6,Sazka,54478.7037037037
3,Last year,6,PUDO,2968.5185185185187
3,Last year,7,Fee collection,12809.25925925926
3,Last year,7,"Food, Tobacco and Others",14939.533333333331
3,Last year,7,Newspaper,21638.399999999998
3,Last year,7,Sazka,59800.370370370365
3,Last year,7,PUDO,3305.555555555555
3,Last year,8,Fee collection,13457.407407407407
3,Last year,8,"Food, Tobacco and Others",17911.199999999997
3,Last year,8,Newspaper,22177.659259259257
3,Last year,8,Sazka,58429.62962962963
3,Last year,8,PUDO,3331.4814814814813
3,Last year,9,Fee collection,12612.962962962962
3,Last year,9,"Food, Tobacco and Others",14592.11111111111
3,Last year,9,Newspaper,19976.962962962964
3,Last year,9,Sazka,63681.29629629629
3,Last year,9,PUDO,3124.074074074074
3,Last year,10,Fee collection,14822.22222222222
3,Last year,10,"Food, Tobacco and Others",15459.422222222222
3,Last year,10,Newspaper,24760.814814814818
3,Last year,10,Sazka,70049.8148148148
3,Last year,10,PUDO,3512.9629629629626
3,Last year,11,Fee collection,15205.555555555555
3,Last year,11,"Food, Tobacco and Others",16785.155555555553
3,Last year,11,Newspaper,22118.28888888889
3,Last year,11,Sazka,72575.37037037036
3,Last year,11,PUDO,4394.444444444444
3,Last year,12,Fee collection,17752.777777777777
3,Last year,12,"Food, Tobacco and Others",19203.37037037037
3,Last year,12,Newspaper,26595.8
3,Last year,12,Sazka,83302.03703703704
3,Last year,12,PUDO,6170.3703703703695
3,This year,1,Fee collection,15737.962962962962
3,This year,1,"Food, Tobacco and Others",12179.074074074073
3,This year,1,Newspaper,17659.962962962964
3,This year,1,Sazka,66445.92592592593
3,This year,1,PUDO,2398.148148148148
3,This year,2,Fee collection,14688.888888888889
3,This year,2,"Food, Tobacco and Others",12479.48148148148
3,This year,2,Newspaper,18359.237037037037
3,This year,2,Sazka,70393.33333333333
3,This year,2,PUDO,3305.555555555555
3,This year,3,Fee collection,15383.333333333332
3,This year,3,"Food, Tobacco and Others",12113.659259259259
3,This year,3,Newspaper,15871.748148148148
3,This year,3,Sazka,73498.33333333333
3,This year,3,PUDO,3201.8518518518517
3,This year,4,Fee collection,15455.555555555555
3,This year,4,"Food, Tobacco and Others",13811.02962962963
3,This year,4,Newspaper,23676.022222222222
3,This year,4,Sazka,77187.03703703704
3,This year,4,PUDO,3033.3333333333326
3,This year,5,Fee collection,13974.999999999998
3,This year,5,"Food, Tobacco and Others",18123.666666666664
3,This year,5,Newspaper,18797.748148148145
3,This year,5,Sazka,64366.29629629629
3,This year,5,PUDO,3487.037037037037
3,This year,6,Fee collection,14524.074074074073
3,This year,6,"Food, Tobacco and Others",17552.296296296296
3,This year,6,Newspaper,20628.792592592592
3,This year,6,Sazka,56263.88888888888
3,This year,6,PUDO,2424.074074074074
3,This year,7,Fee collection,15896.296296296296
3,This year,7,"Food, Tobacco and Others",20205.874074074072
3,This year,7,Newspaper,22810.925925925923
3,This year,7,Sazka,80864.07407407407
3,This year,7,PUDO,3020.37037037037
3,This year,8,Fee collection,15315.740740740739
3,This year,8,"Food, Tobacco and Others",20364.17037037037
3,This year,8,Newspaper,20123.548148148144
3,This year,8,Sazka,76780.92592592593
3,This year,8,PUDO,2942.5925925925926
3,This year,9,Fee collection,16278.703703703703
3,This year,9,"Food, Tobacco and Others",20215.229629629626
3,This year,9,Newspaper,22062.91111111111
3,This year,9,Sazka,86691.48148148147
3,This year,9,PUDO,4044.4444444444443
3,This year,10,Fee collection,19106.48148148148
3,This year,10,"Food, Tobacco and Others",14597.607407407408
3,This year,10,Newspaper,21138.807407407407
3,This year,10,Sazka,72388.33333333333
3,This year,10,PUDO,4627.777777777777
3,This year,11,Fee collection,20262.037037037036
3,This year,11,"Food, Tobacco and Others",13563.65925925926
3,This year,11,Newspaper,20669.755555555555
3,This year,11,Sazka,69013.88888888889
3,This year,11,PUDO,6274.074074074074
3,This year,12,Fee collection,20064.814814814814
3,This year,12,"Food, Tobacco and Others",14495.474074074073
3,This year,12,Newspaper,25642.24444444444
3,This year,12,Sazka,90800.37037037036
3,This year,12,PUDO,7674.074074074074
4,Last year,1,Fee collection,12862.962962962962
4,Last year,1,"Food, Tobacco and Others",12695.637037037037
4,Last year,1,Newspaper,30180.266666666666
4,Last year,1,Sazka,68522.77777777777
4,Last year,1,PUDO,3020.37037037037
4,Last year,2,Fee collection,12814.814814814814
4,Last year,2,"Food, Tobacco and Others",16051.28148148148
4,Last year,2,Newspaper,30595.65185185185
4,Last year,2,Sazka,66002.59259259258
4,Last year,2,PUDO,2838.8888888888887
4,Last year,3,Fee collection,14648.148148148148
